Iteration,GA_Fitness,GWO_Fitness,GWO-GA_Fitness
1,11015.029314306057,12083.502768343795,3153.556102183881
2,0.24918285240341262,0.046602345715998285,0.008485091673978687
3,0.03228870458143294,0.013936651826311913,0.003029041147700549
4,0.011334117775191376,0.007441581749283471,0.00020459297569314837
5,0.010612064697071677,0.001949244444035058,0.00018220957864786272
