Iteration,GA_Fitness,GWO_Fitness,GWO-GA_Fitness
1,19.445008609715245,20.205314104297965,18.15198589900131
2,0.41585053597714294,2.384759056894836e-13,3.9968028886505635e-15
3,0.13155726308259874,3.9968028886505635e-15,3.9968028886505635e-15
4,0.075572356516457,3.9968028886505635e-15,4.440892098500626e-16
5,0.04846389521493366,3.9968028886505635e-15,4.440892098500626e-16
