Iteration,GA_Fitness,GWO_Fitness,GWO-GA_Fitness
1,46.40747220943958,41.86902823706236,15.8629842959166
2,0.3191347368348145,4.024456052027983e-10,2.9696210929703555e-21
3,0.0665314304318504,1.3902754001756525e-24,4.711072610268037e-36
4,0.019056292902856754,1.8075241818352597e-34,4.7042307027039315e-46
5,0.005420609810483201,5.9621348550434045e-40,5.394245791585993e-52
