Function Test F1
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,5.088915357593754,0.0001666679713612,1.923860724024907e-05,5.928505337770044e-06,3.315522707673229e-06

GWO_Fitness,6.785888938023843,8.528608350380112e-30,3.0662309882839112e-58,1.3815509750967817e-72,1.753625784413543e-79

GWO-GA_Fitness,2.890573932493301,6.003916182873953e-40,1.2840778940034444e-67,1.7954784159579436e-83,2.6416955227652334e-91


Function Test F2
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,61.35284210213026,0.1887430432864931,0.0521780582167799,0.0272428403197926,0.0227640435312719

GWO_Fitness,353.5313498314993,1.51630730861338e-14,2.285228362463576e-31,2.526090518004409e-40,5.951021590586013e-44

GWO-GA_Fitness,11.662840468508072,1.0976313619024592e-21,8.70427381424396e-40,3.580662353208772e-49,2.554945317420153e-53


Function Test F3
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,46.40747220943958,0.3191347368348145,0.0665314304318504,0.0190562929028567,0.0054206098104832

GWO_Fitness,41.86902823706236,4.024456052027983e-10,1.3902754001756523e-24,1.80752418183526e-34,5.9621348550434045e-40

GWO-GA_Fitness,15.8629842959166,2.969621092970356e-21,4.711072610268037e-36,4.7042307027039315e-46,5.394245791585993e-52


Function Test F4
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,12324712.575486967,66.65501460235804,15.126285240845558,5.782634494496236,2.754928344301184

GWO_Fitness,5222194.994987049,6.876938168127412,6.502184652085113,6.335431777714248,6.231539744411043

GWO-GA_Fitness,5138506.920050085,3.413750115677867,1.4841897516466769,1.3873752428853274,0.7327921649947284


Function Test F5
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,11015.029314306055,0.2491828524034126,0.0322887045814329,0.0113341177751913,0.0106120646970716

GWO_Fitness,12083.502768343797,0.0466023457159982,0.0139366518263119,0.0074415817492834,0.001949244444035

GWO-GA_Fitness,3153.556102183881,0.0084850916739786,0.0030290411477005,0.0002045929756931,0.0001822095786478


Function Test F6
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,19.445008609715245,0.4158505359771429,0.1315572630825987,0.075572356516457,0.0484638952149336

GWO_Fitness,20.205314104297965,2.384759056894836e-13,3.996802888650564e-15,3.996802888650564e-15,3.996802888650564e-15

GWO-GA_Fitness,18.15198589900131,3.996802888650564e-15,3.996802888650564e-15,4.440892098500626e-16,4.440892098500626e-16


Function Test F7
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,45621590.34603002,0.0058359479795742,0.0004930227785883,7.187823720179506e-05,5.070183929670528e-05

GWO_Fitness,93154548.97791892,0.0065184676644102,0.0036291493090222,0.0006076996401031,0.0003194569547077

GWO-GA_Fitness,1072057.7733813757,0.0003560626946078,0.0001633681336768,7.995484617824606e-05,4.410566740309867e-05


Function Test F8
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,114551070.9187286,0.0953692005195927,0.0190385167947778,0.0009370078981274,0.0002897854749339

GWO_Fitness,30496242.020368174,0.0473907547830403,0.0146926238750754,0.0071242910124859,0.0020337039958785

GWO-GA_Fitness,2426866.3965949006,0.0013822964257207,0.0012425283536527,0.0010795091608414,0.0001063406417072


Function Test F9
,1.0,2.0,3.0,4.0,5.0

GA_Fitness,83.96397277805043,7.213008382343432,7.047257002419386,6.979757742153794,6.968826358009437

GWO_Fitness,118.84641355766928,15.05813002808108,2.188212039027846,2.063281794992463,2.0264902501283477

GWO-GA_Fitness,73.8491834007211,0.0,0.0,0.0,0.0

