Iteration,GA_Fitness,GWO_Fitness,GWO-GA_Fitness
1,20.41751697696035,20.73716812980982,19.80728191162813
2,6.058482588876881,4.249038035641917e-06,6.366710225691463e-08
3,2.7961547147268466,3.4150460237469815e-13,1.4654943925052066e-14
4,1.618993571111155,1.4654943925052066e-14,7.549516567451064e-15
5,1.1464529202411566,1.4654943925052066e-14,7.549516567451064e-15
